Y1,98.1,0.6,-1.3,98.1,1.4,297.9,0,0,0,0,,Y1,98,0.6,-1.7,98,1.8,290.3,0,0,0,0,,Y1,98,0.8,-1.2,98,1.5,302.5,0,0,0,0
B1,90.6,-0.3,-2.1,90.6,2.2,261,6.8,-6.7,-0.9,-1,,B105,90.6,-0.4,-2.2,90.6,2.2,257.7,6.7,-6.6,-1,-0.4,,B1,90.4,-0.2,-2.1,90.4,2.1,264.2,6.9,-6.8,-0.9,-0.7
B2,90.3,0.3,-1.4,90.3,1.5,284.7,7,-6.9,-0.2,0,,B106,90.2,0,-1.7,90.2,1.7,267.8,7,-7,-0.6,0,,B2,90.5,-0.3,-1.9,90.5,1.9,260.6,6.8,-6.7,-1,-0.5
B3,90.6,-0.1,-0.9,90.6,0.9,258.2,6.7,-6.7,-0.8,0,,B107,90.3,-0.4,-0.9,90.3,1,243,7,-6.8,-1,0.6,,B3,90.7,-0.2,-1.4,90.7,1.4,260.3,6.6,-6.5,-0.9,-0.1
B4,90.9,-0.8,0,90.9,0.8,179.1,6.7,-6.4,-1.3,1,,B108,90.5,-0.6,-0.5,90.5,0.9,220,6.9,-6.7,-1.2,1,,B4,90.9,-0.5,-1.5,90.9,1.6,252,6.5,-6.4,-1.1,-0.2
B5,90.8,-1.2,0,90.8,1.2,183.2,6.8,-6.5,-1.7,1,,B109,90.5,-0.9,-0.6,90.5,1.1,213.7,6.9,-6.7,-1.4,0.9,,B5,90.7,-0.1,-1.6,90.7,1.6,265.1,6.6,-6.6,-0.8,-0.3
B6,90.9,-1.4,-0.6,90.9,1.5,203.4,6.7,-6.4,-1.9,1,,B110,90.5,-1.5,-0.8,90.5,1.7,207.6,7,-6.7,-1.9,0.8,,B6,90.5,-0.7,-1.7,90.5,1.9,248.5,6.8,-6.7,-1.3,-0.4
B7,91,-1.6,-1.4,91,2.1,220.4,6.7,-6.3,-2.1,0,,B111,90.5,-1.2,-2.1,90.5,2.5,239.3,6.9,-6.7,-1.7,-0.3,,B7,90.7,-0.6,-2.2,90.7,2.3,255,6.7,-6.5,-1.2,-0.8
B8,91.1,-1.6,-2.3,91.1,2.8,235.4,6.6,-6.2,-2.1,-1,,B112,90.3,-1.2,-2.8,90.3,3.1,246.2,7.1,-6.9,-1.7,-1,,B8,90.8,-0.9,-1.9,90.8,2.1,243.6,6.6,-6.4,-1.5,-0.5
B9,90.8,-1.5,-3.2,90.8,3.5,245,7,-6.4,-1.9,-2,,B113,90.4,-1.2,-2.8,90.4,3.1,246.4,7.1,-6.8,-1.7,-1,,B9,91,-0.7,-2.3,91,2.4,252.9,6.5,-6.3,-1.3,-0.9
B10,90.7,-1.2,-3.6,90.7,3.8,250.3,7.1,-6.5,-1.7,-2,,B114,90.1,-1,-3.4,90.1,3.6,252.7,7.4,-7.1,-1.5,-1.5,,B10,90.6,-0.5,-2.4,90.6,2.5,258.3,6.8,-6.6,-1.1,-1
B11,90.7,-0.6,-3.4,90.7,3.5,259.9,7,-6.6,-1.1,-2,,B115,90.4,-0.7,-2.9,90.4,3,256.4,7,-6.8,-1.2,-1.1,,B11,90.7,-0.1,-2.1,90.7,2.1,264.9,6.6,-6.5,-0.9,-0.8
B12,90.9,0,-2.8,90.9,2.8,270.2,6.6,-6.4,-0.6,-1,,B116,90.4,-0.3,-2.8,90.4,2.8,263.9,6.9,-6.8,-0.8,-1,,B12,90.4,0,-2.2,90.4,2.2,270.6,6.9,-6.8,-0.7,-0.9
B13,90.9,0,-2.3,90.9,2.3,271.6,6.5,-6.4,-0.5,-1,,B117,90.3,0,-2.5,90.3,2.5,269.9,6.9,-6.8,-0.5,-0.7,,B13,90.7,-0.4,-2.2,90.7,2.2,258.1,6.7,-6.5,-1.1,-0.8
B14,82.9,-2.8,-1.9,82.9,3.4,213.5,14,-13.6,-3.2,-1,,B119,82.1,-2.8,-2,82.1,3.5,215.2,14.6,-14.3,-3.1,-0.2,,Y1,82.4,-2.6,-2,82.4,3.3,217.2,0,0,0,0
